step	score	loss_tok2vec	loss_ner	
0	0.0015897765141092664	0.0	62.646610617637634	
200	0.20117988201179884	89.85122588684317	6494.366089491621	
400	0.25701879609802525	124.9481849631411	6918.85527845922	
600	0.3215100145616397	189.0819997920771	7922.895713536156	
800	0.3626836089164019	320.90788880432956	9301.982819214822	
1000	0.3904521110295517	366.79408645710373	11272.047367821568	
1200	0.4364689655172414	429.75756813301086	13288.629849665007	
1400	0.48842652795838754	550.2052145047892	15100.486133188775	
1600	0.5173211375703096	820.8295326997344	16539.01306094576	
1800	0.5576598159122431	978.0249544354768	18325.819860289797	
2000	0.6130873509326266	1253.0996034910766	21289.852264224843	
2200	0.6538005923000988	1484.2968738212164	20556.562801031898	
2400	0.6933163402857773	2006.6843644900355	22146.188286294462	
2600	0.7261118232915886	2019.8070220657835	17234.20247672704	
2800	0.7588739893512129	2208.132692280098	16132.006944093133	
3000	0.774301351285901	2186.5822316628773	13087.141768365378	
3200	0.7810055865921789	2310.861400506963	12261.046784606844	
3400	0.7951519289860022	2427.5406834246946	11305.334023848282	
3600	0.8019651024902592	2234.5576077900646	9225.196925200504	
3800	0.8085601979909739	2323.984047441172	9124.949817076253	
4000	0.8177649870738013	2310.523130615832	7842.268092700712	
4200	0.8161135360530615	2269.947092993382	7482.167830178151	
4400	0.8230094942087754	2382.855066394438	7174.952834191147	
4600	0.8243921265920493	2158.9056009301694	6281.679152414135	
4800	0.8322744292788985	2753.8904732809738	6464.193628059814	
5000	0.8322255496311445	2237.6579476437596	5587.514069729478	
5200	0.8329646286617236	2346.5144134895418	5662.1312849114665	
5400	0.836668600154679	2375.610740602746	5625.22969411237	
5600	0.8338551953369623	2115.0560173882695	5042.435217951963	
5800	0.8397506593143131	2162.602482680542	4981.4401028311795	
6000	0.8356536584192935	2172.8446855100856	4464.117665126399	
6200	0.8410168031021111	2291.335576513499	4485.800245012607	
6400	0.8405755117806103	2284.109911115802	4321.441432597406	
6600	0.8334403920728951	2024.710045729436	3977.278535302629	
6800	0.8448229581004906	2225.812165288213	4145.823178792175	
7000	0.842504743833017	1984.3595289560355	3519.472456961658	
7200	0.843178367435471	2072.714865337744	3723.4481024973315	
7400	0.839094502335609	2308.759553394027	3616.2423371731666	
7600	0.8427941317480103	2132.4668040536912	3514.4421055178714	
7800	0.84766083974774	2062.9100997191586	3394.5936944895266	
8000	0.8430949669227228	2001.6927835347285	3074.862272829005	
8200	0.8407105136821891	2022.719629094464	3181.8091263581528	
8400	0.8446534392169094	2029.993284068123	3146.925560986744	
8600	0.8439473557344647	1967.2305591138656	2896.573444169992	
8800	0.8463736105442584	1988.6186106459545	3021.41233591081	
9000	0.8480519480519482	1803.6960442104805	2691.748526451938	
9200	0.8455104254549837	1999.305043821145	2801.8258960170847	
9400	0.8441664662015878	2129.086937065522	2798.8154789058303	
9600	0.8468050113674843	2000.4244498841945	2659.981347039749	
9800	0.8480762748591516	2280.5978651544165	2767.462639987743	
10000	0.8509568915522907	1889.458042490776	2500.7576105197186	
10200	0.8519940490473675	1932.5265496297618	2548.317244023298	
10400	0.8492123030757689	1967.1792500762401	2416.480578811129	
10600	0.8509301879555043	2085.076480219772	2423.1180591368393	
10800	0.8534055465557678	2031.6720891233178	2458.293110044333	
11000	0.8510885904087669	2013.7856672717685	2322.1485451430904	
11200	0.8496426938716585	2031.9360055896382	2287.8790103368037	
11400	0.8535241225949917	1949.5877480894726	2156.17453460398	
11600	0.8490493195637486	1856.0740058440117	2093.47464706159	
11800	0.8527632498614156	2038.738180276731	2189.0960789740266	
12000	0.8480887495478114	1838.6859277060373	2047.388797751337	
12200	0.8566057743288186	1984.602370975519	2103.709763070777	
12400	0.8523310444524758	1947.9499606096151	2115.2322036743653	
12600	0.852985182682562	2040.6287170362743	2065.5594609793407	
12800	0.8508241891042684	1883.2327845770367	2031.0767436700564	
13000	0.8583944432343474	1975.5828438892897	1947.7736870808467	
13200	0.850787230969233	1981.7135753867078	1906.4056574725678	
13400	0.8507140605678538	2006.97627146643	1828.4836084709211	
13600	0.8543563068920678	1951.1622744623303	1841.9148641564311	
13800	0.8553677214275394	1987.5045027019669	1895.278184336905	
14000	0.8494654863832051	2024.4540236668436	1880.5876874885496	
14200	0.8522664355696781	1994.3218488817995	1828.3297571261674	
14400	0.8526877308165779	1989.858914962146	1792.5947745002672	
14600	0.8503522825982047	1926.613702844187	1726.4686116598446	
